Date;Coverage Ratio (unique);Finished Rides
2016-11-13 23;94;10
2016-11-13 22;87;12
2016-11-13 21;76;17
2016-11-13 20;89;14
2016-11-13 19;84;12
2016-11-13 18;85;11
2016-11-13 17;68;16
2016-11-13 16;81;12
2016-11-13 15;82;7
2016-11-13 14;69;11
2016-11-13 13;70;11
2016-11-13 12;71;7
2016-11-13 11;85;5
2016-11-13 10;54;5
2016-11-13 09;59;5
2016-11-13 08;79;6
2016-11-13 07;71;3
2016-11-13 06;80;3
2016-11-13 05;85;7
2016-11-13 04;45;10
2016-11-13 03;67;19
2016-11-13 02;79;25
2016-11-13 01;84;14
2016-11-13 00;79;32
2016-11-12 23;74;43
2016-11-12 22;81;22
2016-11-12 21;91;12
2016-11-12 20;79;14
2016-11-12 19;77;12
2016-11-12 18;80;17
2016-11-12 17;82;14
2016-11-12 16;76;11
2016-11-12 15;94;8
2016-11-12 14;82;7
2016-11-12 13;66;11
2016-11-12 12;52;7
2016-11-12 11;51;4
2016-11-12 10;66;6
2016-11-12 09;79;3
2016-11-12 08;59;4
2016-11-12 07;78;3
2016-11-12 06;83;4
2016-11-12 05;77;10
2016-11-12 04;55;6
2016-11-12 03;70;19
2016-11-12 02;94;19
2016-11-12 01;90;22
2016-11-12 00;57;47
2016-11-11 23;72;40
2016-11-11 22;89;18
2016-11-11 21;75;21
2016-11-11 20;58;31
2016-11-11 19;64;36
2016-11-11 18;45;29
2016-11-11 17;62;26
2016-11-11 16;63;23
2016-11-11 15;82;9
2016-11-11 14;78;10
2016-11-11 13;79;11
2016-11-11 12;73;13
2016-11-11 11;79;14
2016-11-11 10;67;6
2016-11-11 09;67;28
2016-11-11 08;65;24
2016-11-11 07;55;7
2016-11-11 06;60;1
2016-11-11 05;83;1
2016-11-11 04;20;2
2016-11-11 03;67;0
2016-11-11 02;92;5
2016-11-11 01;75;7
2016-11-11 00;76;13
2016-11-10 23;78;13
2016-11-10 22;85;18
2016-11-10 21;94;10
2016-11-10 20;89;19
2016-11-10 19;84;26
2016-11-10 18;91;28
2016-11-10 17;84;22
2016-11-10 16;84;8
2016-11-10 15;77;4
2016-11-10 14;88;7
2016-11-10 13;89;7
2016-11-10 12;85;7
2016-11-10 11;89;6
2016-11-10 10;79;10
2016-11-10 09;57;26
2016-11-10 08;56;11
2016-11-10 07;52;10
2016-11-10 06;57;1
2016-11-10 05;60;1
2016-11-10 04;50;1
2016-11-10 03;100;0
2016-11-10 02;60;0
2016-11-10 01;73;6
2016-11-10 00;81;8
2016-11-09 23;77;15
2016-11-09 22;95;13
2016-11-09 21;93;17
2016-11-09 20;94;23
2016-11-09 19;84;28
2016-11-09 18;81;31
2016-11-09 17;92;16
2016-11-09 16;83;13
2016-11-09 15;84;4
2016-11-09 14;92;4
2016-11-09 13;87;5
2016-11-09 12;71;9
2016-11-09 11;80;7
2016-11-09 10;67;10
2016-11-09 09;51;26
2016-11-09 08;39;19
2016-11-09 07;53;10
2016-11-09 06;18;0
2016-11-09 05;50;1
2016-11-09 04;43;0
2016-11-09 03;56;1
2016-11-09 02;80;1
2016-11-09 01;78;7
2016-11-09 00;91;9
2016-11-08 23;71;21
2016-11-08 22;75;12
2016-11-08 21;82;17
2016-11-08 20;79;22
2016-11-08 19;85;27
2016-11-08 18;55;18
2016-11-08 17;80;24
2016-11-08 16;92;7
2016-11-08 15;95;2
2016-11-08 14;84;4
2016-11-08 13;91;10
2016-11-08 12;88;6
2016-11-08 11;86;8
2016-11-08 10;76;11
2016-11-08 09;76;25
2016-11-08 08;68;17
2016-11-08 07;69;17
2016-11-08 06;73;2
2016-11-08 05;100;0
2016-11-08 04;57;0
2016-11-08 03;44;1
2016-11-08 02;56;0
2016-11-08 01;83;2
2016-11-08 00;94;6
2016-11-07 23;75;9
2016-11-07 22;87;8
2016-11-07 21;85;14
2016-11-07 20;87;5
2016-11-07 19;84;16
2016-11-07 18;96;15
2016-11-07 17;97;11
2016-11-07 16;100;10
2016-11-07 15;91;11
2016-11-07 14;88;3
2016-11-07 13;82;5
2016-11-07 12;82;6
2016-11-07 11;77;5
2016-11-07 10;56;5
2016-11-07 09;58;21
2016-11-07 08;53;11
2016-11-07 07;56;9
2016-11-07 06;36;2
2016-11-07 05;50;0
2016-11-07 04;50;1
2016-11-07 03;0;0
2016-11-07 02;50;1
2016-11-07 01;76;0
2016-11-07 00;81;6
