NEW_LSID,DATE,QUERY_ID,SUPPORT_PERSON,QUERY_TYPE,QUERY_DETAIL,PROPERTY,ASSIGNED_TO,STATUS,COMMENT,SPATIAL_PUBLISH_DATE,ERF_KEY,PROP_ID
1,2023-11-08,474084,Pearl,NAD,,1st avenue at Newton Park and Mill Park.,Mawande,Done,,7 March,,
2,2023-11-07,469070,Pearl,NAD,,BLOEMFONTEIN~280~00000 – #5 President Steyn Avenue,Mawande,Done,,7 March,BLOEMFONTEIN~280~00000 – #5,
3,2023-12-11,474436,Pearl,CAD,,BRYANSTON~3701~00000 – #25 Grosvenor Road (Primary),Jones,Done,,7 March,BRYANSTON~3701~00000 – #25,
4,2023-12-11,474324,Refiloe,CAD,,MOGWASE-2~820~00000 – #820 Kwena Drive,Jones,Done,,7 March,MOGWASE-2~820~00000 – #820,
5,2023-12-11,,DDP,Owner,Transfers never receiced ,"ERF 235 PTN 1 ANNADALE - SS PYLON TRADERS u1,5,9",Kathy,Done,,7 March,ANNADALE~235~00001,17976478
6,2023-12-12,474501,Khanya,Owner,,SS Eikendal U20 G Slabbert,Kathy,Done,,7 March,SS U20 G,
7,2023-12-12,474673,Khanya,CAD,,Paradysstrand~1064 - pin incorrect,Jones,Done,,7 March,-,
8,2023-12-13,474807,Khanya,Other,Prop no active,Brenton~683~00000,Gerrit,Done,,7 March,,
9,2023-12-13,474895,Pearl,Owner,,SS Dumini Jof U44 MUDUMBI JOHN BAPTIST NZUKIZ 7404136051189,Gerrit,Done,,7 March,SS U44 MUDUMBI JOHN BAPTIST NZUKIZ 7404136051189,
10,2023-12-13,474849,Khanya,Bond,Experian,ERF 15734 UPINGTON 4 Nedbank bonds,Gerrit,Done,,7 March,UPINGTON~15734~00000,13756583
11,2024-01-15,475883,Bernice,CAD,,RIEBEEK WEST~526 as well as RIEBEEK WEST~502. The corrected addresses will accompany this,Aldeleen,Done,,7 March,RIEBEEK WEST~526 RIEBEEK WEST~502.,
12,2024-01-15,477441,Bernice,NAD,,EDENBURG PTA~281~00000 – #18 Wessels Road,Mawande,Done,,7 March,EDENBURG PTA~281~00000 – #18,
13,2024-01-15,477435,Bernice,Other,ID Numbers,SS Ashwood Manor U 141 and 179,Bets,Done,,7 March,PAULSHOF~978~00000,
14,2024-01-15,476181,Refiloe,CAD,,UMTATA~3490~00000 UMTATA~8752~00000 – #2Nyathi Crescent,Jones,Done,Not registered,7 March,UMTATA~3490~00000 UMTATA~8752~00000 –,
15,2024-01-15,475788,Refiloe,CAD,,remainder erf 4119 Plettenberg bay,Jones,Done,,7 March,PLETTENBERG BAY~4119~00000,11769840
16,2024-01-15,,Refiloe,Mun vals,,"Swartland Municipality  latest roll  MALMESBURY~3815~00000
",Mdu,Done,,7 March,"MALMESBURY~3815~00000
",
17,2024-01-15,477511,Refiloe,CAD,,UMTATA~8752~00000 – #2Nyathi Crescent,Jones,Done,,7 March,UMTATA~8752~00000 –,
18,2024-01-15,477645,Refiloe,Owner,,Pietermaritzburg~835~47 Clarence,Kathy,Done,,7 March,,
19,2024-01-15,477653,Refiloe,Mun Vals,,North End~100,Mdu,Done,,7 March,,
